,Muffat-FMG__1,Muffat-FMG__2,Muffat-FMG__1-NCM,Muffat-NPC__1,Muffat-NPC__2,Muffat-NPC__3,Muffat-NPC__4,Muffat-pMGL__1,Muffat-pMGL__2,Muffat-pMGL__31,Muffat-pMGL__32,Muffat-pMGL__4,Muffat-pMGL__5,Muffat-pMGL__1-NCM,Muffat-pMGL__2-NCM,Muffat-pMGL__3-NCM
LINC00242,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
C6orf208,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
RP1-182D15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-302L19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-302L19.3,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0
RP11-302L19.2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
RP5-1086L22.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
RP5-894D12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-894D12.3,4,0,26,0,0,0,0,2,0,0,0,0,2,0,16,0
DLL1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM120B,5,8,6,26,8,6,9,17,11,8,4,6,2,8,5,14
RP5-894D12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-140C12.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
PSMB1,15239,13651,17797,29307,25035,24706,26980,15605,16100,19760,13255,15699,19687,18415,16676,16145
TBP,1323,1349,1999,2497,3481,1672,2677,1292,1622,2072,1292,1368,1351,1759,1631,1874
PDCD2,3800,3801,5016,7733,5597,5974,6357,2868,3382,4326,4064,3424,3309,5039,3639,4344
OR4F7P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-226I21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XX-C2158C12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XX-C2158C12.2,0,0,0,3,2,2,0,0,2,2,0,0,0,0,0,0
XX-C2158C6.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
XX-C2158C6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XX-C2158C6.2,0,4,0,0,6,0,1,2,0,1,9,0,5,1,0,7
ABC7-481722F1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-482G13.1,0,1,0,0,4,0,0,1,4,2,0,0,3,0,0,0
ABC7-481722F1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC093627.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
