,Jang-hESCs_Control_71,Jang-hESCs_Control_72,Jang-hESCs_Control_73,Jang-iPSCs_Control_74,Jang-iPSCs_Control_75,Jang-iPSCs_Control_76,Jang-iPSCs_AMN_77,Jang-iPSCs_AMN_78,Jang-iPSCs_AMN_79,Jang-iPSCs_CCALD_80,Jang-iPSCs_CCALD_81,Jang-iPSCs_CCALD_82
SH2D1A,7.613127,7.62328,7.761785000000001,7.818288000000001,7.6327679999999996,7.648824,7.65693,7.702477,7.6917089999999995,7.696513,7.752603,7.831078
SH2D1B,6.624999000000001,6.739665,6.783189,6.530663,6.691043,6.507835,6.758050999999999,6.521949,6.461236,6.376075,6.7361580000000005,6.662348
SH2D2A,7.647480000000001,7.720271,7.698278,7.546152,7.664558,7.545982,7.714602,7.913397,7.899242999999999,7.675724000000001,7.720136999999999,7.6314210000000005
SH2D3A,8.25928,8.439300999999999,9.156848,8.981434,8.713785000000001,8.618217,9.039696000000001,9.044617,9.767725,8.948938,9.293542,9.204559
SH2D3C,6.578753999999999,6.6025100000000005,6.373355999999999,6.625953,6.705021,6.380984,6.7083,6.677736,6.8424130000000005,6.7739080000000005,6.677117999999999,6.4838059999999995
SH2D4A,8.122760000000001,7.709685,7.668951,8.147063000000001,8.175059,8.004216,7.818022999999999,7.819442,7.205513000000001,7.858219999999999,8.176730000000001,7.887089
SH2D4B,6.350137,6.3866165,6.2697935,6.3200765,6.385118,6.240927,6.3819735,6.274087000000001,6.234267,6.3384485,6.400380999999999,6.2504595
SH2D5,7.482558999999999,7.170580999999999,7.088348,7.0086580000000005,7.120178,7.135503,7.242878,7.105117999999999,7.4161660000000005,7.295886,7.1855649999999995,7.162795
SH2D6,6.81429,6.672967,7.0206100000000005,6.826557000000001,6.930697,6.857722,6.723536,6.849517999999999,6.949961999999999,6.751666,6.608586,6.718431
SH2D7,6.5481475,6.620235000000001,6.629817500000001,6.6203259999999995,6.63068,6.629308999999999,6.752680000000001,6.7354615,6.548513,6.6540824999999995,6.615676,6.6367385
SH3BGR,7.347228,7.119737,7.325613000000001,7.1080125,7.1476405,7.147348,7.111460000000001,7.184349,7.314068499999999,7.1307979999999995,7.1933869999999995,7.281774
SH3BGRL,8.1538115,8.204055499999999,7.953336500000001,8.0951865,8.218385000000001,8.202392,8.0505475,8.1210855,8.0280575,8.081255,8.139766499999999,8.2717295
SH3BGRL2,8.893533999999999,9.179905,9.154323,8.967863000000001,9.278847,9.213936,9.265476,9.187803,8.643978,8.936461,9.237721,8.848281
SH3BGRL3,10.07281,10.241545,10.610797999999999,10.55965,10.100025,9.89355,10.240486,10.096721,10.985722,10.008479,10.073411,10.183345
SH3BP1,9.361053,9.616204,10.004705,9.718808000000001,9.912788,9.848519,9.92037,9.952406,10.328415,10.025065,9.422194000000001,9.953081
SH3BP2,6.497112,6.640058,6.311731,6.395671,6.3555019999999995,6.325315,6.282266,6.3680699999999995,6.441571,6.343563,6.338941,6.515214
SH3BP4,11.749088,11.323359,11.776858,11.727948,11.520781,11.663126,11.408101,11.479328,10.632307,11.787411,11.432697000000001,11.818041000000001
SH3BP5,6.701878,6.753664,6.679637,6.739688,6.664706,6.734395,6.576989,6.572239,6.681203999999999,6.789867,6.719336,6.700734
SH3BP5L,8.953484,9.029777000000001,9.422194000000001,9.484394,9.348628,9.083126,9.091841,9.161961999999999,9.945159,9.259518,9.290966000000001,9.505175999999999
SH3D19,9.046814,8.796327999999999,8.280714,8.796863,8.716965,8.899694,8.780582,8.789457,7.804533999999999,8.763785,9.212643,8.607797999999999
SH3D21,6.853194,6.9359020000000005,6.875049000000001,6.808539,6.943026,6.823262,6.86084,7.0027669999999995,6.6723669999999995,6.604391000000001,6.89611,6.646675
SH3GL1,9.263836,9.175696,9.382251,8.800383,9.320992,8.901578,9.717405,9.39443,9.998650999999999,9.072732,9.622603999999999,9.048727
SH3GL2,8.738075,9.478985,9.412633999999999,9.428123,9.564003,9.425823,9.4453,9.303734,8.660113,9.457696,9.033826,9.682997
SH3GL3,9.954367,10.006426,9.891214999999999,10.129118,10.141359,10.106624,10.124893,10.25838,9.96411,10.399792,10.591252,10.527438
SH3GLB1,9.930589999999999,9.61001,9.561088,9.658328,9.540221,9.666469000000001,9.438991,9.428469999999999,9.561927,9.683611,9.799626,9.689064
SH3GLB2,11.295845,11.561554,12.093126,11.315039,11.561554,11.214704,11.658443,11.529574,12.184979,11.152676,11.543156,11.159928
SH3KBP1,9.685174,9.546375,9.413657,9.688448,9.629009,9.696142,9.629009,9.605295,8.876438,9.477056,8.987813000000001,9.65793
SH3PXD2A,10.242644,9.277865,9.828297000000001,9.504445,9.659759,9.366883,9.784628999999999,9.482178,9.011307,8.935039,8.499497999999999,9.216348
SH3PXD2B,9.280271,9.69184,9.746414,9.525257,9.723676,9.581087,9.300646,9.474484,9.390885,8.977053999999999,8.650608,9.016387
SH3RF1,7.981584,7.383284,7.520105,7.5907729999999995,7.239211999999999,7.580713,7.548878,7.48159,7.037800999999999,7.810345,8.095601,7.660128
SH3RF2,7.756854,7.209669,7.290833,7.084728999999999,7.346861,7.143339999999999,7.076975999999999,7.087633,7.199903999999999,6.940849000000001,7.863751,7.148611
SH3RF3,6.493034,6.45717,6.549213,6.541622,6.624782000000001,6.490922,6.6022229999999995,6.753088000000001,6.619337,6.800877000000001,6.446352,6.462055
SH3TC1,6.303778,6.047062,6.272494,6.03069,6.072881,6.030034,5.981897,6.092646,6.204591000000001,6.1152169999999995,6.057258,6.008486
SH3TC2,6.691846000000001,6.672166000000001,6.555996,6.450887000000001,6.632822999999999,6.660625,6.611836,6.5285910000000005,6.513125,6.540591,6.544222,6.641545
SH3YL1,7.862010000000001,7.413746000000001,7.397121,7.162203,7.385662,7.4023639999999995,7.792561,7.770741,7.457192,7.449766,7.499707000000001,7.493699
