	Mouse_ABCD1_1	Mouse_ABCD1_2	Mouse_ABCD1_3	Mouse_NT_1	Mouse_NT_2	Mouse_NT_3
Rbmx	824.545625968369	843.874721642164	841.893791720371	1024.25900327312	1060.13919123894	1096.29947854346
Snord61	2.06136406492092	1.85671005861862	2.84423578283909	0	0.979795925359462	0
RP23-435H13.1	0	0	0	1.88803502907487	0	0
Gpr101	0	0	0	0	0	0
RP23-335L22.1	0	0	0	0	0	0
RP23-80H12.1	0	0	0	0	0	0
RP23-435H13.3	0	0	0	0	0	0
RP23-80H12.2	0	0	0	0	0	0
RP23-80H12.3	0	0	0	0	0	0
RP23-80H12.4	0	0	0	0	0	0
Gm25023	0	0	0	0	0	0
Zic3	0	0	0	0	0	0
RP23-445A22.1	0	0	0	0	0	0
RP23-238N3.1	0	0	0	0	0	0
Gm25851	0	0	0	0	0	0
RP23-44A17.2	0	0	0	0	0	0
RP23-16G8.1	0	0	0	0.944017514537436	0	2.26977117710861
RP23-16G8.2	0	0	0.948078594279697	0	0	0
RP23-303A21.1	0	0	0	0	0	0
Gm44333	0	0	0	0	0	0
RP23-150G4.1	0	1.85671005861862	0	1.88803502907487	0	0
Fgf13	0	0	1.89615718855939	0	0	0
Gm26351	0	0	0	0	0	0
Mir504	0	0	0	0	0	0
Gm26487	0	0	0	0	0	0
RP23-95I19.1	0	0	0	0	0	0
Gm44500	0	0	0	0	0	0
Gm44318	0	0	0	0	0	0
RP23-395P1.1	0	0	0	0	0	0
F9	0	0	0	0	0	0
RP23-419J18.2	141.203438447083	162.462130129129	168.757989781786	195.411625509249	170.484491012546	183.851465345798
RP23-419J18.4	0	0	0	0	0	0
Mcf2	0	0	0	0	0	0
Atp11c	668.91263906684	539.37427202871	646.589601298754	317.189884884579	371.342655711236	382.456443342801
Gm22287	1.03068203246046	0	1.89615718855939	0.944017514537436	0	0
Mir505	0	0	2.84423578283909	1.88803502907487	0	0
CAAA01000182.1	0	0	0	0	0	0
RP23-6C3.5	0	0	0	0	0	0
RP23-6C3.4	0	0	0	0	0	0
Hspa9-ps1	9.27613829214415	5.57013017585587	10.4288645370767	9.44017514537436	11.7575511043135	12.4837414740974
RP23-299A23.1	0	0	0	0	0	0
RP23-6C3.2	0	0	0	0	0	0
RP23-6C3.3	0	1.85671005861862	0	0	0	0
RP23-174O19.1	0	0	0	0	0	0
Sox3	0	0	0	0	0	0
RP23-174O19.2	0	0	0	0	0	0
RP23-174O19.4	0	0	0	0	0	0
Rpl7l1-ps1	0	0	0	0	0	0
RP23-132O17.2	0	0	0	0	0	0
RP23-146D13.1	0	0	0	0	0	0
RP23-146D13.2	0	0	0	0	0	0
Gm24396	0	0	0	0	0	0
Cdr1	0	0	0	0	0	0
RP23-357I18.1	0	0	0	0	0	0
RP23-357I18.2	0	0	0	0	0	0
RP23-322K17.1	0	0	0	0	0	0
RP23-322K17.3	0	0	0	0	0	0
Ldoc1	0	0	0	0	0	0
RP23-267D10.1	52.5647836554835	44.5610414068469	15.1692575084752	17.9363327762113	62.7069392230056	29.507025302412
RP23-267D10.2	0	1.85671005861862	0	0	0	0
Gm25412	0	0	0	0.944017514537436	0	0
RP23-332O3.1	0	0	0	0	0	0
RP23-31N7.1	0	0	0	0	0	0
RP23-31N7.2	0	0	0	0	0	0
RP23-31N7.3	0	0	0	0	0	0
RP23-146M22.1	0	0	0	0	0	0
RP23-146M22.2	0	0	0	0	0	0
RP23-100F3.1	0	0	0	0	0	0
RP23-100F3.2	0	0	0	0	0	0
RP23-245N10.1	0	0	0	0	0	0
RP23-245N10.2	0	0	0	0	0	0
RP23-160B4.1	138.111392349702	202.38139638943	207.629212147254	202.019748111011	192.040001370455	144.130469746397
RP23-160B4.2	0	0	0	0	0	0
RP23-226L1.1	0	0	0	0	0	0
RP23-226L1.3	0	0	0	0	0	0
RP23-269N5.1	0	0	0	0	0	0
RP23-111L20.1	0	0	0	0	0	0
RP23-418L18.1	0	0	0	0	0	0
RP23-418L18.2	0	0	0	0	0	0
Slitrk4	0	0	0	0	0	0
Gm24598	0	0	0	0	0	0
RP23-92P11.1	0	0	0	0	0	0
Gm26111	0	0	0	0	0	0
RP23-417D2.1	0	0	0	0	0	0
RP23-417D2.2	0	0	0	0	0	0
Ctag2	0	0	0	0	0	0
RP23-322K21.2	0	0	0	0	0	0
RP23-322K21.3	0	0	0	0	0	0
RP23-229E11.1	0	0	0	0	0	0
RP23-229E11.2	0	0	0	0	0	0
RP23-229E11.3	0	0	0	0	0	0
RP23-421G11.1	2.06136406492092	1.85671005861862	0.948078594279697	0	0	0
Gm23028	0	0	0	0	0	0
Slitrk2	0	0	5.68847156567818	5.66410508722462	0	4.53954235421723
Gm23000	0	0	0	0	0	0
RP23-152G20.1	0	0	0	0	0	0
Mir743	0	0	0	0	0	0
Mir743b	0	0	0	0	0	0
RP23-152G20.2	847.220630682499	788.173419883605	832.413005777574	1071.45987899999	1080.71490567149	1064.52268206394
Mir742	0	0	0	0	0	0
Mir883a	0	0	0	0	0	0
Mir883b	0	0	0	0	0	0
Mir471	0	0	0	0	0	0
Mir741	0	0	0	0	0	0
Mir463	0	0	0	0	0	0
Mir880	0	0	0	0	0	0
Mir878	0	0	0	0	0	0
Mir881	0	0	0	0	0	0
Mir871	0	0	0	0	0	0
Mir470	0	0	0	0	0	0
Mir465d	0	0	0	0	0	0
Mir465c-1	0	0	0	0	0	0
Mir465b-1	0	0	0	0	0	0
Mir465c-2	0	0	0	0	0	0
Mir465b-2	0	0	0	0	0	0
Mir465	0	0	0	0	0	0
RP23-25A3.2	0	0	0	0	0	0
RP23-25A3.3	0	0	0	0	0	0
RP23-171A16.2	0	0	0	0	0	0
RP23-24K4.1	0	0	0	0	0	0
Gm26276	0	0	0	0	0	0
RP23-45N17.1	0	0	0	0	0	0
RP23-45N17.2	0	0	0	0	0	0
RP23-45N17.3	0	0	0	0	0	0
Rpl7a-ps13	0	0	0	0	0	0
RP23-320H14.1	0	0	0	0	0	0
