	prize	Base_Mean	log2FC	StdErr	Wald_Stats	P_value	P_adj
NORAD	3.1	6530.89000611042	-2.2527276894158796	0.0513569247460887	43.864146861469706	1e-309	1e-310
CSF2RB	3.1	1754.63931962464	-2.85667891482526	0.0754582623430271	37.8577352051792	1e-309	1e-310
TMSB4X	3.1	10912.9926065367	-1.6213612852634098	0.0366323913235694	44.2603178957694	1e-309	1e-310
SAT1	3.1	5854.63908464312	-1.81093565862423	0.0442399028373569	40.93444023333279	1e-309	1e-310
APLN	3.1	6777.231314025699	-2.5979962795689704	0.0487589167676225	53.282485580034894	1e-309	1e-310
DPYSL2	3.026710250087188	5172.142622571079	1.7927466822383502	0.0479255143217501	-37.4069367352568	3.013853832659278e-306	2.132922085924929e-303
SLC39A6	3.009112442786458	1342.81662084635	3.26836757362648	0.0876290646696495	-37.2977571533807	1.7843992960796192e-304	1.2267490246362191e-301
SEPT9	2.979286953339166	2381.71983572731	2.4260194111696096	0.0653692513350916	-37.112546979213704	1.763093906251579e-301	1.1784323770062591e-298
AMOTL2	2.9309071703688216	3096.33120320784	-1.9542300486675102	0.0530887331820537	36.810636297649104	1.247822937935379e-296	8.114896089892187e-294
ADD3	2.9246468951786646	2596.83044190821	2.31162957482289	0.0628659717412831	-36.770760250650504	5.417043914298547e-296	3.4301292280487277e-293
ARPC2	2.879858405749012	5823.37209208718	1.60274190963826	0.0439243168383118	-36.488715704744	1.674527598371899e-291	1.0331405915903794e-288
NRG1	2.843421554783447	1600.2697801856302	-2.7936988294702405	0.07705154378545599	36.2575321949301	7.560887750210787e-288	4.548252026139297e-285
EXT2	2.8272112201327375	4080.32820107666	1.7142111874510602	0.0474143656248318	-36.15383575971121	3.238397242251088e-286	1.9005442547084291e-283
TNFRSF21	2.813960595615742	1017.23229489909	-3.61218689788938	0.10014729125566	36.068742874613	7.012259933968487e-285	4.017357107884518e-282
RND3	2.73291797890285	6348.79302826153	-1.7761181101995	0.0499648403130204	35.5473588842164	9.127226810631124e-277	5.107426314358287e-274
TNFRSF10B	2.7278844790523977	7972.27446837615	-1.36084216766596	0.0383183430098122	35.514118324936106	2.976274947849278e-276	1.6276165407988495e-273
EPHA2	2.7140097075671026	2559.25978207587	-2.12929519464354	0.0601097063165606	35.4234835790058	7.428652352149875e-275	3.972182953276228e-272
YWHAZ	2.683120016311589	9089.29208159595	-1.5715272642170102	0.0446182040953721	35.221661115222204	9.320183822763356e-272	4.8752665900724265e-269
MPZL3	2.6727461256387692	1117.8480229009301	-3.10247923468149	0.0882559028020083	35.1532207612395	1.0378953628576494e-270	5.313582600229967e-268
CTTN	2.6687404608552097	6599.67558402837	-1.47005018392168	0.041850299673234004	35.1263956387359	2.6660201614978586e-270	1.3364536901241992e-267
DCUN1D3	2.6406872106893	2869.13378799222	-2.0213465517686298	0.0578493184971511	34.941579335427605	1.738374283424219e-267	8.536482042398695e-265
GALNT1	2.6359949067227104	7671.05591262225	-1.92935187623705	0.0552663085010228	34.9100913118043	5.225737731160008e-267	2.5148340257434383e-264
CCND1	2.582621000659025	6585.4006161958305	-1.55419215051067	0.0449760715140039	34.5559782834023	1.1591466588644295e-261	5.468899393254097e-259
TLN1	2.5772927981498124	8860.00161224773	-1.3731846035336	0.0397794792991945	34.519924034335105	4.030805163227487e-261	1.8651775737996091e-258
DKK1	2.5560913766494564	1105.15179299637	-2.9568524206576603	0.0860105718029023	34.377778901801	5.417594333697858e-259	2.4595878274988286e-256
PCDH1	2.5389394333829647	1709.0595066003	-2.53069436804399	0.073862453538047	34.2622570307715	2.8649608988544287e-257	1.2766053545969493e-254
SDC4	2.5254086817551578	749.069612333952	-4.04160794994725	0.11827684904554199	34.1707441698168	6.579044009011016e-256	2.8782719444513284e-253
GDF15	2.523725299194343	1481.4541259572	-2.85403154070838	0.083551668359411	34.1588815250379	9.870209823515034e-256	4.241017656668198e-253
DLG1	2.4667156490632753	4836.6294841646395	2.043313046018	0.0605027819264822	-33.772216432971	5.046359972835167e-250	2.130272169585259e-247
PCYOX1	2.4634129923115613	1582.73282249917	2.38917341865399	0.0707920093058405	-33.749196301691605	1.0984923579621895e-249	4.5572281236700174e-247
PGF	2.445893718884915	1756.1179666803198	-2.3346269924387997	0.0694229164860384	33.6290537852629	6.311729827404846e-248	2.5741159848646685e-245
CXorf36	2.438454083963596	2314.8997068239396	-2.3932628858658798	0.0712755348862588	33.577620844025	3.559681418432488e-247	1.4275509048387091e-244
GUCY1A2	2.4175873968562716	1428.86446097892	2.6927899614174198	0.0805408157652642	-33.4338550687833	4.418332820342737e-245	1.742851218411259e-242
CLDN5	4.411333110255423	1182.44343426667	-2.9521520317586805	0.0884134462340042	33.390306084723896	1.895609783552209e-244	7.356800421263446e-242
CENPF	2.3811164710391104	1186.27493242822	-2.73226675660097	0.0823443514952533	33.1809857869665	2.0247048495741493e-241	7.733086998484617e-239
SEMA3A	2.346042291650698	1374.12707676411	2.80147147174811	0.0850569093416545	-32.9364362452347	6.616359376186367e-238	2.4875443642155688e-235
IGFBP7	2.3315537005457316	2627.74804669915	1.9377542622428603	0.0590155975218506	-32.834612265433805	1.888911364923769e-236	6.992459271199337e-234
FKBP1A	2.329907892555494	4971.72715115972	-1.6824741704331898	0.0512596021571639	32.8226146834823	2.8017085633553085e-236	1.0214350219917497e-233
FLNA	2.322118093295905	36275.7725047617	1.49199702710502	0.0455328110715292	-32.7675140627972	1.709754481109159e-235	6.140315272305767e-233
RALBP1	2.3096860741705436	2184.81603283961	-1.9317606720809701	0.0591120083558034	32.6796657026679	3.037874113698208e-234	1.0749606900559695e-231
CCNG1	2.3082789441292038	6514.99172651644	1.7507418073619399	0.053589796489526	-32.669312481978196	4.2620933283377575e-234	1.4862969516878692e-231
FAM124B	2.286146696394384	4527.012558932821	-1.8058460988646798	0.0555428734748807	32.5126516848535	7.064748048285069e-232	2.4284566791119287e-229
DOCK9	2.2751013620319975	7226.321693335341	-1.3949835895078702	0.0430099547204966	32.4339701953485	9.115708376133066e-231	3.0893264076973784e-228
FLRT2	2.2407122753233186	14551.8123505968	1.52684863620922	0.0474342957489086	-32.1887067595885	2.5396463327135594e-227	8.487356952465796e-225
PLA2G16	2.221054085116938	691.5353643134911	3.75361071823739	0.11712654113822	-32.0474819947752	2.380031066706409e-225	7.844973633847887e-223
PRRC2B	2.203413485675946	2401.1933742167603	-2.13443854028979	0.066867993384745	31.920182321139198	1.401365526517069e-223	4.556710445818058e-221
APLP2	2.2010431641037997	25645.9590644217	1.3298818901262601	0.0416855910085689	-31.902675671622	2.451394066404309e-223	7.864725870109386e-221
SUSD5	2.1965817513417236	751.858938652417	3.4108511055050297	0.10702362821416099	-31.870075444272103	6.939157352122686e-223	2.1969737395628488e-220
BSG	2.182120266636564	2976.5602814269396	-1.99586674591762	0.0628320371475944	31.7651127756572	1.963958646957209e-221	6.137243241959017e-219
PLAT	2.164500889660866	5945.69596938584	1.30129165565045	0.0411321425226013	-31.6368556521317	1.1499366457966895e-219	3.5474071245076986e-217
CCNA1	2.16104061392504	717.88341802733	-3.45936624395558	0.109434538608888	31.611283676345803	2.5836517591815887e-219	7.869345396130047e-217
DPP4	2.140203003643916	831.997640592556	3.12920597219891	0.0994696925084475	-31.458888564807502	3.1729110716738787e-217	9.543323275827094e-215
PERP	2.1356417419551876	1484.8755887545901	-2.23846995500339	0.0712318571116806	31.4251241757437	9.182884055901995e-217	2.7278834092976988e-214
EI24	2.109734012281835	1952.77712053911	-2.0583386967393	0.0658994875881245	31.2345174761302	3.623104844675738e-214	1.0631603508852194e-211
RECK	2.10532925022368	1437.13713940339	2.46913804073521	0.0791347934431168	-31.2016741726895	1.0111634140168394e-213	2.9313992853100185e-211
MPZL2	2.051694235134114	2043.47734449245	-1.83492637659544	0.059569054056742	30.8033492498907	2.363328271013409e-208	6.769810102038657e-206
CAMK2D	2.014762993586373	1634.30292767417	1.9579692469419199	0.0641411534752022	-30.5259438107688	1.1797441829664294e-204	3.3396475918280285e-202
TOP2A	2.0084445245136893	704.5388738618781	-3.4213973656879597	0.11225825300817299	30.4779138638375	5.113453104858708e-204	1.4306966117338395e-201
RASSF3	2.0054463124804305	1722.6018532663097	-1.99336188713811	0.0654529134077652	30.454899306309997	1.0317067741606594e-203	2.853440045960209e-201
GLT25D1	1.9982050958172743	3938.90171266971	-1.48715232857242	0.0489198300033214	30.3997852909843	5.528933519486848e-203	1.5117863448396896e-200
KIF1C	1.9916039761029054	3929.77532003406	1.4703910208276	0.0484487240689195	-30.3494271332292	2.5565875748574186e-202	6.911978677103277e-200
SAMD9	1.978077549199754	4582.0249332475105	1.42818860306881	0.0472185094863964	-30.2463719969871	5.823121703893818e-201	1.5568439382121492e-198
CCNY	1.97285737572603	1898.8061852583498	1.8018258090243602	0.0596506943622713	-30.2062839047856	1.958718824848649e-200	5.1791969630228774e-198
MAOA	1.9722745694945152	1442.3963212331303	2.22536370883677	0.0736839185280395	-30.201484303388902	2.264639903588509e-200	5.923017973928987e-198
MX1	1.963786995894164	12429.5066476789	-1.5691817099249097	0.0520692848115116	30.136417575261003	1.6160382529984894e-199	4.181194886413928e-197
STOM	1.9600561432504011	6249.27846193019	-1.31414167761535	0.0436482076059515	30.1075748511643	3.8563976194682287e-199	9.871557395706855e-197
LRRC8A	1.9589678618555728	2652.87170836395	1.8468798436687401	0.0613603591237734	-30.098908644639696	5.007324044339698e-199	1.2682761174200195e-196
STXBP5	1.956811485552417	2140.3005816447303	1.87836369087125	0.0624412874690038	-30.082078173094697	8.313635036764256e-199	2.083777981818979e-196
WNK1	1.9381208992335834	3262.73618830307	1.7752145916848099	0.0592954038623922	-29.93848554948	6.213697237804596e-197	1.5413812673819993e-194
SF3B3	1.9307596497599884	4733.19578340261	-1.3133434319738502	0.0439516700384986	29.881536488225603	3.419238360739409e-196	8.395276881235886e-194
SYT11	1.9229856086324841	1384.4280034539802	2.18984570619175	0.0734322711829311	-29.821298877390102	2.0689148121118093e-195	5.028507899902448e-193
ACTG1	1.9084713510419717	32205.2221314316	-1.06584179612029	0.0358762900497376	29.708807533963103	5.909261014158858e-194	1.4218863852268997e-191
STX3	1.8878177370133284	3995.3622662210705	-1.39287737697243	0.0471392507295813	29.5481441774032	6.937706930448988e-192	1.6528228134699395e-189
SDCBP	1.8730405692471472	4780.8089424276395	-1.53100405149085	0.0520173529431428	29.432563651678098	2.104803341707819e-190	4.9652723537424976e-188
TRIM22	1.8663742369221612	9762.63728186767	-1.08889137535948	0.0370622161857142	29.380093459689103	9.864652930937305e-190	2.304497852662269e-187
DAB2	1.8375571302012341	7643.725197189649	-1.5564418578567099	0.0533881765467131	29.153306191210103	7.585576572977676e-187	1.7550398413364292e-184
METTL7A	1.8374257547114539	672.124696875891	3.08808166535098	0.10593056467596801	-29.1519418856791	7.893727054016567e-187	1.8089415273690194e-184
NTN4	1.8265488929012943	1402.10599521756	-2.3220914948895897	0.0798911837227624	29.0656789233176	9.751801503008508e-186	2.2136589411829292e-183
UBA1	1.8232997426833908	3883.3102910933294	-1.36209889011271	0.0469048210009839	29.0396351812991	2.080069216871099e-185	4.677628551060978e-183
MAP1A	1.8067599388778515	798.33712383071	3.07098294440456	0.10623288038452901	-28.9080267172329	9.464510235612666e-184	2.1086578267528889e-181
TGFBR2	1.8019938897910361	13912.1986195793	1.24914939180897	0.0432684284686644	-28.869765693330496	2.862238350107399e-183	6.318456805530646e-181
YES1	1.800408581038718	3576.396437310779	-1.5898871882520902	0.0550957210004456	28.856817904955502	4.161049276006498e-183	9.102106152660757e-181
ZC3H7B	1.7943062009756314	2756.7603438928004	-1.7285982146342098	0.0600044608524261	28.807828452712897	1.711477360976059e-182	3.7100511945771183e-180
GAPDH	1.7918428847785206	31700.4426523927	1.02318453900326	0.035542241307868	-28.787845148548797	3.0450737983243385e-182	6.5420147977928765e-180
BACE2	1.784665743420541	2798.6107847627195	-1.56153247852492	0.0543517146518436	28.7301419748668	1.6038818727484296e-181	3.4152748338117386e-179
SARAF	1.7787739892970558	2250.9168678924602	-1.7056398850465602	0.0594659435030319	28.6826338668889	6.283103288389198e-181	1.3261757133791296e-178
FLNC	1.7597137309246624	3782.97581267206	2.1318404705855802	0.0747251397847937	-28.529093110099502	5.104968015646808e-179	1.0681368729781997e-176
ZNF106	1.7358873303238298	2480.01044768607	-1.63744874502684	0.0577867251241116	28.336070983603896	1.2427770778094294e-176	2.577905348814689e-174
MBD2	1.7350544891135573	1156.1277174357	2.15587438967066	0.0761013010796396	-28.3290082966459	1.5184665449663198e-176	3.122849744015339e-174
ASPM	1.731641251550168	615.621360025059	-3.3005417252527005	0.116622852718243	28.3009860273844	3.360664279031469e-176	6.852907108648738e-174
IFI6	1.727454346613239	14357.0199889942	-1.16336917406059	0.0411569600257165	28.266644896359402	8.887519724933607e-176	1.7970714253895194e-173
ELMOD1	1.725767126034192	771.216211890477	-3.09395594383677	0.109510412360554	28.2526188802045	1.3217122651874195e-175	2.6502533770782984e-173
RBMS2	1.714339034056674	1926.28221658137	-1.8680555796172198	0.0663392064367458	28.1591487139419	1.8516130892312996e-174	3.6821086076928585e-172
SERPINH1	1.7085884062782444	7968.473287215641	1.30157109263441	0.0462997258210305	-28.111853138517	7.017581747164567e-174	1.3840741967235592e-171
PPP1R3C	1.6743943978925333	515.410301577698	3.6554914034228396	0.13134869836671903	-27.8304349329514	1.8583760496226795e-170	3.6354670330098386e-168
PNP	1.6641680789708369	3019.49635313401	-1.4852270437902502	0.0535303464509762	27.745515249942304	1.9737042015157694e-169	3.829941169102628e-167
BSDC1	1.6521223222317183	1543.3126395065601	-1.83169953264022	0.066257398453193	27.6452075602427	3.186735859407069e-168	6.134339059924228e-166
SCAMP2	1.6494265175185832	932.6612307182429	-2.4117662161627003	0.0873116997262113	27.6224861470505	5.975676395155168e-168	1.1411644874620895e-165
VCL	1.6470681655750101	6977.587694555689	1.1842291882353602	0.0429028755208999	-27.602559825121002	1.0367055916816195e-167	1.9641897596096993e-165
USP28	1.6459905873885432	1162.7402043672698	-2.1096200348919902	0.0764540758415344	27.5932971744316	1.3391200369360095e-167	2.5173364319339193e-165
COL1A2	1.6457632361219678	540.7860825081659	4.4739558938392	0.16215201761225	-27.5911207256	1.4221138814262495e-167	2.652628233711499e-165
CMPK2	1.6414389075691531	536.6204553878	-3.8397293416495297	0.139348956745204	27.5547763781998	3.879009765370019e-167	7.179748690333328e-165
GPRC5A	1.6393921622877314	1542.7745231009399	-2.02324780704336	0.07347269201275099	27.537412222383598	6.2621482433864685e-167	1.1502275651325597e-164
UBE2L6	1.6350960902442926	3073.46618975826	-1.42058431311034	0.0516552866752099	27.5012376185708	1.6968098801569197e-166	3.093078737601199e-164
MDM2	1.6189908406948916	13118.699415123501	-1.14855713731021	0.0419702763739749	27.3659655484759	6.973259850976909e-165	1.2615832972496695e-162
SNTB2	1.61367708958376	4885.51129960522	-1.21963947185948	0.0446410915943954	27.3210046685462	2.388163836013129e-164	4.2883580762796997e-162
RAB3B	1.612010347198212	4418.60240412947	-1.4236562020681598	0.0521357821120791	27.3067007800449	3.531565993494899e-164	6.294558587812908e-162
CYBRD1	1.609354851886993	1485.4759248858802	1.99251403635763	0.07302850364674901	-27.2840594680093	6.557253856687738e-164	1.1601517816148596e-161
CHD3	1.60161760293059	4700.58408165507	1.28999668862591	0.0473941084326716	-27.218503128051896	3.923092531140199e-163	6.890324998853676e-161
ZDHHC20	1.5961010936813214	1945.4727101733301	1.7185821915283603	0.0632492292025888	-27.171591072259602	1.4074662701693094e-162	2.454090825566229e-160
ALDH1A1	1.5691130726699014	2336.4366720365197	-1.94009177327042	0.0720100360145929	26.941963657361	7.085586607460128e-160	1.2265711147388897e-157
CBFB	1.5629114477266577	1124.33420489377	-2.19555475478744	0.081653387081455	26.8887162341131	2.976127552854639e-159	5.115112941199169e-157
FBN1	1.5537363007919733	14420.325813629099	1.32363206161875	0.0493710651708416	-26.8098745092598	2.478890316740829e-158	4.230287858256578e-156
RRP1B	1.5529675819459001	1498.7001626089002	-1.7749385124319101	0.0662215932407228	26.8030173478282	2.9798776120831086e-158	5.049423598728439e-156
SERP1	1.544505726920821	2049.04418490013	1.6248271434634098	0.0607865044662386	-26.7300638148366	2.1058703161725495e-157	3.5434581501918785e-155
UBE2H	1.5353822944595046	4194.0980818117605	-1.21591650226529	0.0456233204291883	26.6512058049898	1.7330110173662594e-156	2.895813270824099e-154
CBX1	1.528847186934934	999.695689781673	-2.2436705039130698	0.0843659462015778	26.5945041208002	7.858100634403738e-156	1.3040111549311896e-153
FAM171A1	1.5095065849090694	1749.2477675918499	1.78701882656335	0.06762223044339799	-26.426499316066497	6.797710147118167e-154	1.1203185038353296e-151
FBLIM1	1.5052654385334983	3441.7559753779497	-1.34672547088032	0.0510329848772509	26.3893141684654	1.8173633222527297e-153	2.974788861227559e-151
SLCO2A1	1.4959587412731647	474.898757927443	3.4382605929184105	0.130693366207726	-26.307843256968397	1.5597531293050593e-152	2.535863499820159e-150
VMP1	1.493631244900227	5637.056493519251	-1.1304384106335201	0.0430033169937975	26.2872375820815	2.683675836924499e-152	4.3338663079246485e-150
IFITM1	1.4911575360549099	1346.9460713727	-2.00247011008093	0.0762400293957768	26.2653375916963	4.775357952613128e-152	7.660310870385128e-150
HLA-B	1.4909575052848418	1760.2696757143103	-1.98676432311986	0.0756478341770367	26.263333838088304	5.033785394867529e-152	8.021387031212087e-150
RTCB	1.4831866117196026	1461.1586846498499	-1.7794912077869498	0.0679325726101991	26.194962731615895	3.0328483394056995e-151	4.801078733077628e-149
ZNF518B	1.4773002946788145	2954.7006226776803	1.47261996994848	0.0563294293641566	-26.1429946401257	1.1839414906865195e-150	1.8619607940456795e-148
RNF14	1.4771680045329574	1323.4481660667698	-1.88598984228468	0.0721452060736168	26.141582302228397	1.2285378610038198e-150	1.9195505202255794e-148
FADS1	1.4723433880761818	2513.0995766357396	1.5636631907105702	0.059913069450499	-26.098866325026002	3.7554429432434494e-150	5.829901167762828e-148
RSAD2	1.4663659203646693	796.385268155183	-3.0538685316373395	0.117249458711905	26.0459072919136	1.4969277501062393e-149	2.3089150976318192e-147
TP53INP1	1.4643827837176135	2378.10122814793	-1.62020415192533	0.0622481484161224	26.028150124151896	2.3784255313949096e-149	3.6452022379888086e-147
HIST1H1B	1.4585935950224052	428.034078384598	-3.96768523742455	0.152740057216651	25.976716977371897	9.077491736950606e-149	1.3824215580664895e-146
CFAP54	1.4576250099758894	2386.36231996926	1.6455784016863102	0.0633697140604702	-25.967900062102604	1.1417326068094696e-148	1.7278220116383295e-146
FAM107B	1.4538778808660715	4966.88560401354	-1.1867309601399498	0.0457588448795399	25.934460611145703	2.7227023963630394e-148	4.094604066330468e-146
POLR3G	1.4490443304644638	1003.4729698189301	-2.2407720496007903	0.0865452531627733	25.8913339289259	8.337984954509108e-148	1.2461403352509194e-145
TLL1	1.4454958823094308	1597.97237716401	-1.76630756695208	0.0683038383772196	25.8595652735846	1.8993065289129095e-147	2.8210564011544796e-145
CFH	1.4266017614435489	3263.9999096290803	1.53512507383647	0.0597539019167467	-25.6907921423326	1.4814252326885296e-145	2.186874475395789e-143
CCDC80	1.4164098605030426	1601.25420753185	1.77600856313945	0.0693775498222598	-25.5991825553	1.5578515663100094e-144	2.2856722188141196e-142
SGPL1	1.4132620788056258	829.4992233111091	-2.6125371077896897	0.10216933011217899	25.570659070791503	3.2355218810276596e-144	4.718371363714389e-142
GFM1	1.411708626554239	2253.0053984052697	-1.4970402014091202	0.0585777792156585	25.556451976399803	4.6549359554969793e-144	6.747413792841468e-142
TFRC	1.410671918679577	2451.4933532569503	-1.6235942634103502	0.0635535014746991	25.5468892466406	5.945561568230848e-144	8.566592961363508e-142
SCN9A	1.409211545642611	720.9617004457651	2.63527833304477	0.10320862049651301	-25.5335098983695	8.371880006584056e-144	1.1990724804668195e-141
BANF1	1.406505590248851	549.145322986686	-2.92708357120934	0.114747536317745	25.508901237792102	1.5703481863210195e-143	2.2358413052814392e-141
IFIT3	1.4012739536748526	2387.55572603958	-1.76475265939459	0.0693107008790516	25.461474736406398	5.268922752409249e-143	7.457695251086548e-141
ZNF521	1.3967653728656173	4493.52970735428	1.2356014539173301	0.0486064939368833	-25.4205015387819	1.4966736110867394e-142	2.1060210777759696e-140
CBX5	1.3951610502367213	4367.7333227347	1.5089360716295799	0.0593934662238437	-25.405758706566502	2.1781696418014992e-142	3.047158018664399e-140
MAP4K2	1.3838611095996438	3239.11756890778	1.2620210338231599	0.0498762064042022	-25.303067831494698	2.9553125679814894e-141	4.110446879235299e-139
UNC13B	1.383331200221146	2525.7548426839803	-1.3815652430108798	0.054611584568750995	25.2980252069342	3.358129993546709e-141	4.643869189926489e-139
PDE4B	1.3832461314326354	2488.1524914300303	-1.7112583452265802	0.0676466217660423	25.297025934938898	3.444238229988189e-141	4.735729159427189e-139
IGF2BP2	1.3758176679407916	2077.7478470452497	1.45955452575838	0.0578517952458435	-25.2292002271657	1.9160822656715494e-140	2.619589288442539e-138
KIF3B	1.3729175109992964	1075.39247926705	-2.17891380214285	0.0864561377745756	25.2025345826125	3.757426067236609e-140	5.1079766118557783e-138
MCAM	1.3658577550574926	28583.341982590096	-0.936034463115658	0.0372360893405965	25.1378294469594	1.9200510424609596e-139	2.5955206844772795e-137
OAS2	1.3634092902142145	5562.86672410948	-1.08880369804083	0.0433523722761612	25.1152045637777	3.393065841577309e-139	4.561114540783979e-137
TSPYL1	1.3550247924877965	932.149492861052	-2.18222244555552	0.0871560141705598	25.038116604151	2.3521311522669796e-138	3.1442766547693294e-136
WASF2	1.3537528093640028	1178.17195768226	-1.9515819649831203	0.0779815107018117	25.026213873255703	3.170048567704719e-138	4.21423804619397e-136
MYH10	1.3535753362368508	4872.830831597321	1.5805602178504699	0.0631608553819152	-25.0243637185293	3.3205195522422195e-138	4.390018761870999e-136
DHX58	1.3347349696700272	925.046532858951	-2.05747920869714	0.0827944079386729	24.850461038638603	2.5563622771138994e-136	3.361267164585489e-134
LIMCH1	1.3336148984806369	1177.54179700968	2.51031054680079	0.101059696049709	-24.839878259341102	3.3265668279863695e-136	4.350209294293919e-134
ERV3-1	1.3328839914234556	3047.09002354829	1.72755916518608	0.0695673686385712	-24.832895062646397	3.9576817076265795e-136	5.147553364805988e-134
JAK3	1.3287149818052806	554.45341946848	2.88897527027619	0.116519889100325	-24.793838138558	1.0447483731604797e-135	1.3443173986624397e-133
USP18	1.3287149818052806	1969.84715505052	-1.7769317632009398	0.0716678950663182	24.793971715740298	1.0412884026509097e-135	1.3443173986624397e-133
MAPK6	1.3091588883604266	2391.83209637366	1.61496620394129	0.065617999908411	-24.6116340972819	9.482815278645078e-134	1.2136994746529696e-131
TRIM21	1.3076488884582071	834.857780157883	-2.2657606164946698	0.0921149615529562	24.5970966963071	1.3568537294069196e-133	1.7183481282625895e-131
C12orf49	1.3076488884582071	1508.74617032427	-1.8626009882963401	0.0757239535818581	24.5972496177561	1.3517512220850695e-133	1.7183481282625895e-131
HMOX1	1.300827712033105	1312.94279664936	2.0127955038418897	0.0820442388166895	-24.533051105989898	6.560401835971277e-133	8.264732407180147e-131
TNFSF4	1.2981382828247272	2910.6316055580296	-1.58251818306236	0.0645724818980483	24.507625176324396	1.2250144844135296e-132	1.5352238814561596e-130
DIXDC1	1.2981119007171924	2334.45420524915	1.5675339658103897	0.0639622696332513	-24.507166096487303	1.2388978944026295e-132	1.5445782971562697e-130
EPAS1	1.297130379156807	11495.5768941467	-1.24347426482689	0.0507587191461359	24.497747101279	1.5611049176063295e-132	1.9362529137857493e-130
DLGAP5	1.2929054407356608	413.37927516059096	-3.55944073306592	0.145533612231779	24.457860136097604	4.151058131967879e-132	5.122192860072359e-130
HELZ2	1.277979352525397	2298.3335932250798	-1.7914075269929701	0.0736690608624369	24.3169589244268	1.2971467036816195e-130	1.5924461216319897e-128
EML1	1.2761385193192778	814.062801968726	2.45222228889868	0.100917230043984	-24.299342023457104	1.9919689832113795e-130	2.4330333844686394e-128
LRRC8C	1.2685146398706744	1892.00035629227	-1.7578564053466001	0.0725580264160175	24.226904894956498	1.1584291591381798e-129	1.4077839609688298e-127
KIF20A	1.2650706997369763	548.383364985596	-2.86282400133053	0.11832785748255803	24.193998456809002	2.573068690426039e-129	3.111215016534239e-127
